location,latitude,longitude,pm2_5,pm10,no2,co,so2,o3,timestamp,temperature,humidity,wind_speed,wind_direction,hour,day,pollution_source
Hyderabad,17.385,78.4867,23,77,19,362,7,62,2026-03-28 08:33:27.718173,33,74,3.1056198778282007,64,8,28,Natural
Bangalore,12.9716,77.5946,107,46,43,291,29,33,2026-03-28 08:33:27.718550,33,74,3.1056198778282007,64,8,28,Vehicular
Visakhapatnam,17.6868,83.2185,34,147,18,121,18,62,2026-03-28 09:33:27.716603,36,68,6.263404005204224,259,9,28,Natural
Mumbai,19.076,72.8777,46,105,9,323,4,35,2026-03-28 09:33:27.716990,36,68,6.263404005204224,259,9,28,Mixed
Delhi,28.7041,77.1025,119,57,30,200,19,23,2026-03-28 09:33:27.717369,36,68,6.263404005204224,259,9,28,Agricultural
Jammu and Kashmir,34.0837,74.7973,32,148,38,349,15,54,2026-03-28 09:33:27.717762,36,68,6.263404005204224,259,9,28,Vehicular
Hyderabad,17.385,78.4867,40,137,41,170,25,43,2026-03-28 09:33:27.718167,36,68,6.263404005204224,259,9,28,Vehicular
Bangalore,12.9716,77.5946,72,73,47,119,27,22,2026-03-28 09:33:27.718545,36,68,6.263404005204224,259,9,28,Vehicular
Visakhapatnam,17.6868,83.2185,25,83,15,163,22,23,2026-03-28 10:33:27.716598,40,64,6.384923781257774,144,10,28,Industrial
Mumbai,19.076,72.8777,49,57,33,192,13,37,2026-03-28 10:33:27.716985,40,64,6.384923781257774,144,10,28,Vehicular
Delhi,28.7041,77.1025,102,148,14,310,14,17,2026-03-28 10:33:27.717364,40,64,6.384923781257774,144,10,28,Agricultural
Jammu and Kashmir,34.0837,74.7973,113,66,37,225,6,76,2026-03-28 10:33:27.717757,40,64,6.384923781257774,144,10,28,Vehicular
Hyderabad,17.385,78.4867,24,54,44,188,13,52,2026-03-28 10:33:27.718162,40,64,6.384923781257774,144,10,28,Vehicular
Bangalore,12.9716,77.5946,113,118,39,241,14,49,2026-03-28 10:33:27.718540,40,64,6.384923781257774,144,10,28,Vehicular
Visakhapatnam,17.6868,83.2185,62,129,36,360,18,41,2026-03-28 11:33:27.716592,38,61,7.776965700463669,243,11,28,Vehicular
Mumbai,19.076,72.8777,119,83,10,346,18,76,2026-03-28 11:33:27.716980,38,61,7.776965700463669,243,11,28,Agricultural
Delhi,28.7041,77.1025,43,108,41,165,2,65,2026-03-28 11:33:27.717359,38,61,7.776965700463669,243,11,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,53,125,21,353,29,23,2026-03-28 11:33:27.717751,38,61,7.776965700463669,243,11,28,Industrial
Hyderabad,17.385,78.4867,107,140,21,329,18,20,2026-03-28 11:33:27.718157,38,61,7.776965700463669,243,11,28,Agricultural
Bangalore,12.9716,77.5946,104,145,21,179,7,69,2026-03-28 11:33:27.718535,38,61,7.776965700463669,243,11,28,Agricultural
Visakhapatnam,17.6868,83.2185,54,116,15,262,22,38,2026-03-28 12:33:27.716587,20,57,9.2426977104463,237,12,28,Industrial
Mumbai,19.076,72.8777,106,61,45,318,24,48,2026-03-28 12:33:27.716975,20,57,9.2426977104463,237,12,28,Vehicular
Delhi,28.7041,77.1025,105,141,13,239,10,26,2026-03-28 12:33:27.717352,20,57,9.2426977104463,237,12,28,Agricultural
Jammu and Kashmir,34.0837,74.7973,99,101,37,112,8,48,2026-03-28 12:33:27.717746,20,57,9.2426977104463,237,12,28,Vehicular
Hyderabad,17.385,78.4867,84,128,22,291,2,33,2026-03-28 12:33:27.718148,20,57,9.2426977104463,237,12,28,Agricultural
Bangalore,12.9716,77.5946,25,120,26,384,14,54,2026-03-28 12:33:27.718530,20,57,9.2426977104463,237,12,28,Natural
Visakhapatnam,17.6868,83.2185,66,53,47,278,20,57,2026-03-28 13:33:27.716581,39,66,6.077772823457953,72,13,28,Vehicular
Mumbai,19.076,72.8777,68,123,42,319,11,23,2026-03-28 13:33:27.716970,39,66,6.077772823457953,72,13,28,Vehicular
Delhi,28.7041,77.1025,91,64,5,358,3,34,2026-03-28 13:33:27.717347,39,66,6.077772823457953,72,13,28,Agricultural
Jammu and Kashmir,34.0837,74.7973,30,42,16,223,6,48,2026-03-28 13:33:27.717741,39,66,6.077772823457953,72,13,28,Mixed
Hyderabad,17.385,78.4867,21,81,26,252,15,41,2026-03-28 13:33:27.718143,39,66,6.077772823457953,72,13,28,Mixed
Bangalore,12.9716,77.5946,79,125,5,194,28,31,2026-03-28 13:33:27.718525,39,66,6.077772823457953,72,13,28,Industrial
Visakhapatnam,17.6868,83.2185,43,81,20,366,25,12,2026-03-28 14:33:27.716575,38,50,7.201477252861005,22,14,28,Industrial
Mumbai,19.076,72.8777,100,94,46,363,24,17,2026-03-28 14:33:27.716965,38,50,7.201477252861005,22,14,28,Vehicular
Delhi,28.7041,77.1025,41,94,41,112,2,15,2026-03-28 14:33:27.717342,38,50,7.201477252861005,22,14,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,24,61,37,275,11,33,2026-03-28 14:33:27.717735,38,50,7.201477252861005,22,14,28,Vehicular
Hyderabad,17.385,78.4867,97,122,28,336,21,68,2026-03-28 14:33:27.718137,38,50,7.201477252861005,22,14,28,Industrial
Bangalore,12.9716,77.5946,32,124,18,186,27,18,2026-03-28 14:33:27.718520,38,50,7.201477252861005,22,14,28,Industrial
Visakhapatnam,17.6868,83.2185,21,93,28,370,30,79,2026-03-28 15:33:27.716570,28,84,1.0119060173990642,343,15,28,Industrial
Mumbai,19.076,72.8777,29,112,42,283,11,56,2026-03-28 15:33:27.716959,28,84,1.0119060173990642,343,15,28,Vehicular
Delhi,28.7041,77.1025,79,85,8,331,19,25,2026-03-28 15:33:27.717337,28,84,1.0119060173990642,343,15,28,Mixed
Jammu and Kashmir,34.0837,74.7973,93,56,33,397,25,35,2026-03-28 15:33:27.717727,28,84,1.0119060173990642,343,15,28,Vehicular
Hyderabad,17.385,78.4867,95,45,15,368,4,46,2026-03-28 15:33:27.718131,28,84,1.0119060173990642,343,15,28,Agricultural
Bangalore,12.9716,77.5946,83,95,6,165,24,41,2026-03-28 15:33:27.718515,28,84,1.0119060173990642,343,15,28,Industrial
Visakhapatnam,17.6868,83.2185,31,33,11,306,4,47,2026-03-28 16:33:27.716564,21,89,9.025627166110445,273,16,28,Mixed
Mumbai,19.076,72.8777,42,55,24,397,3,57,2026-03-28 16:33:27.716953,21,89,9.025627166110445,273,16,28,Natural
Delhi,28.7041,77.1025,79,139,44,188,3,10,2026-03-28 16:33:27.717332,21,89,9.025627166110445,273,16,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,104,75,28,306,26,27,2026-03-28 16:33:27.717721,21,89,9.025627166110445,273,16,28,Industrial
Hyderabad,17.385,78.4867,69,34,13,244,14,33,2026-03-28 16:33:27.718125,21,89,9.025627166110445,273,16,28,Mixed
Bangalore,12.9716,77.5946,23,88,6,158,18,44,2026-03-28 16:33:27.718510,21,89,9.025627166110445,273,16,28,Mixed
Visakhapatnam,17.6868,83.2185,37,31,32,107,13,46,2026-03-28 17:33:27.716559,34,47,3.965807877012983,105,17,28,Vehicular
Mumbai,19.076,72.8777,70,88,14,393,17,33,2026-03-28 17:33:27.716939,34,47,3.965807877012983,105,17,28,Mixed
Delhi,28.7041,77.1025,108,133,31,248,21,28,2026-03-28 17:33:27.717326,34,47,3.965807877012983,105,17,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,53,59,10,132,14,77,2026-03-28 17:33:27.717716,34,47,3.965807877012983,105,17,28,Natural
Hyderabad,17.385,78.4867,35,64,29,292,14,51,2026-03-28 17:33:27.718120,34,47,3.965807877012983,105,17,28,Natural
Bangalore,12.9716,77.5946,31,62,8,102,15,37,2026-03-28 17:33:27.718505,34,47,3.965807877012983,105,17,28,Mixed
Visakhapatnam,17.6868,83.2185,78,121,30,294,20,51,2026-03-28 18:33:27.716553,28,85,9.288452010309856,266,18,28,Natural
Mumbai,19.076,72.8777,69,51,44,158,14,33,2026-03-28 18:33:27.716934,28,85,9.288452010309856,266,18,28,Vehicular
Delhi,28.7041,77.1025,114,132,42,391,30,20,2026-03-28 18:33:27.717321,28,85,9.288452010309856,266,18,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,64,58,23,210,20,28,2026-03-28 18:33:27.717711,28,85,9.288452010309856,266,18,28,Mixed
Hyderabad,17.385,78.4867,70,143,40,142,4,37,2026-03-28 18:33:27.718115,28,85,9.288452010309856,266,18,28,Vehicular
Bangalore,12.9716,77.5946,49,39,49,184,24,61,2026-03-28 18:33:27.718500,28,85,9.288452010309856,266,18,28,Vehicular
Visakhapatnam,17.6868,83.2185,83,113,23,117,2,27,2026-03-28 19:33:27.716548,34,86,6.94031039791025,4,19,28,Agricultural
Mumbai,19.076,72.8777,80,39,40,359,20,29,2026-03-28 19:33:27.716929,34,86,6.94031039791025,4,19,28,Vehicular
Delhi,28.7041,77.1025,42,127,48,364,19,78,2026-03-28 19:33:27.717316,34,86,6.94031039791025,4,19,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,86,110,6,234,30,32,2026-03-28 19:33:27.717705,34,86,6.94031039791025,4,19,28,Industrial
Hyderabad,17.385,78.4867,90,114,42,207,21,42,2026-03-28 19:33:27.718110,34,86,6.94031039791025,4,19,28,Vehicular
Bangalore,12.9716,77.5946,54,116,49,188,16,42,2026-03-28 19:33:27.718494,34,86,6.94031039791025,4,19,28,Vehicular
Visakhapatnam,17.6868,83.2185,81,105,21,321,23,13,2026-03-28 20:33:27.716542,23,66,1.0742386634045744,246,20,28,Industrial
Mumbai,19.076,72.8777,113,139,7,321,9,53,2026-03-28 20:33:27.716924,23,66,1.0742386634045744,246,20,28,Agricultural
Delhi,28.7041,77.1025,102,96,16,149,6,35,2026-03-28 20:33:27.717311,23,66,1.0742386634045744,246,20,28,Agricultural
Jammu and Kashmir,34.0837,74.7973,71,37,44,297,21,49,2026-03-28 20:33:27.717696,23,66,1.0742386634045744,246,20,28,Vehicular
Hyderabad,17.385,78.4867,74,148,21,169,20,55,2026-03-28 20:33:27.718105,23,66,1.0742386634045744,246,20,28,Natural
Bangalore,12.9716,77.5946,115,93,9,362,6,67,2026-03-28 20:33:27.718489,23,66,1.0742386634045744,246,20,28,Agricultural
Visakhapatnam,17.6868,83.2185,42,128,32,112,30,19,2026-03-28 21:33:27.716536,20,43,7.651699518351845,140,21,28,Vehicular
Mumbai,19.076,72.8777,52,59,30,327,8,75,2026-03-28 21:33:27.716919,20,43,7.651699518351845,140,21,28,Natural
Delhi,28.7041,77.1025,36,97,9,356,16,60,2026-03-28 21:33:27.717306,20,43,7.651699518351845,140,21,28,Natural
Jammu and Kashmir,34.0837,74.7973,27,99,34,332,22,10,2026-03-28 21:33:27.717691,20,43,7.651699518351845,140,21,28,Vehicular
Hyderabad,17.385,78.4867,43,122,32,223,13,27,2026-03-28 21:33:27.718100,20,43,7.651699518351845,140,21,28,Vehicular
Bangalore,12.9716,77.5946,104,135,14,382,7,15,2026-03-28 21:33:27.718483,20,43,7.651699518351845,140,21,28,Agricultural
Visakhapatnam,17.6868,83.2185,75,141,28,219,11,11,2026-03-28 22:33:27.716531,28,74,9.211295343069215,338,22,28,Mixed
Mumbai,19.076,72.8777,40,65,29,117,5,33,2026-03-28 22:33:27.716912,28,74,9.211295343069215,338,22,28,Mixed
Delhi,28.7041,77.1025,60,45,39,111,20,30,2026-03-28 22:33:27.717301,28,74,9.211295343069215,338,22,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,104,90,6,356,13,63,2026-03-28 22:33:27.717684,28,74,9.211295343069215,338,22,28,Agricultural
Hyderabad,17.385,78.4867,86,108,29,297,30,50,2026-03-28 22:33:27.718094,28,74,9.211295343069215,338,22,28,Industrial
Bangalore,12.9716,77.5946,35,131,44,285,6,14,2026-03-28 22:33:27.718478,28,74,9.211295343069215,338,22,28,Vehicular
Visakhapatnam,17.6868,83.2185,58,143,14,275,23,36,2026-03-28 23:33:27.716524,20,84,4.806857293905848,1,23,28,Industrial
Mumbai,19.076,72.8777,116,97,42,265,3,42,2026-03-28 23:33:27.716907,20,84,4.806857293905848,1,23,28,Vehicular
Delhi,28.7041,77.1025,110,50,38,232,21,34,2026-03-28 23:33:27.717296,20,84,4.806857293905848,1,23,28,Vehicular
Jammu and Kashmir,34.0837,74.7973,22,115,32,115,9,71,2026-03-28 23:33:27.717679,20,84,4.806857293905848,1,23,28,Vehicular
Hyderabad,17.385,78.4867,64,58,36,134,7,62,2026-03-28 23:33:27.718073,20,84,4.806857293905848,1,23,28,Vehicular
Bangalore,12.9716,77.5946,119,133,30,219,4,60,2026-03-28 23:33:27.718473,20,84,4.806857293905848,1,23,28,Agricultural
Visakhapatnam,17.6868,83.2185,98,98,8,194,6,20,2026-03-29 00:33:27.716518,35,63,6.334695288850749,287,0,29,Agricultural
Mumbai,19.076,72.8777,93,89,25,271,15,24,2026-03-29 00:33:27.716902,35,63,6.334695288850749,287,0,29,Agricultural
Delhi,28.7041,77.1025,68,148,36,246,17,10,2026-03-29 00:33:27.717291,35,63,6.334695288850749,287,0,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,77,41,44,172,14,72,2026-03-29 00:33:27.717672,35,63,6.334695288850749,287,0,29,Vehicular
Hyderabad,17.385,78.4867,44,68,24,329,19,74,2026-03-29 00:33:27.718068,35,63,6.334695288850749,287,0,29,Natural
Bangalore,12.9716,77.5946,55,86,20,142,22,56,2026-03-29 00:33:27.718465,35,63,6.334695288850749,287,0,29,Industrial
Visakhapatnam,17.6868,83.2185,32,123,39,376,16,37,2026-03-29 01:33:27.716512,27,64,8.421565429366474,63,1,29,Vehicular
Mumbai,19.076,72.8777,70,49,11,383,18,59,2026-03-29 01:33:27.716897,27,64,8.421565429366474,63,1,29,Natural
Delhi,28.7041,77.1025,44,94,17,359,2,31,2026-03-29 01:33:27.717285,27,64,8.421565429366474,63,1,29,Mixed
Jammu and Kashmir,34.0837,74.7973,21,121,43,130,19,33,2026-03-29 01:33:27.717667,27,64,8.421565429366474,63,1,29,Vehicular
Hyderabad,17.385,78.4867,85,133,50,342,8,11,2026-03-29 01:33:27.718063,27,64,8.421565429366474,63,1,29,Vehicular
Bangalore,12.9716,77.5946,72,85,35,155,7,58,2026-03-29 01:33:27.718460,27,64,8.421565429366474,63,1,29,Vehicular
Visakhapatnam,17.6868,83.2185,116,40,17,148,7,25,2026-03-29 02:33:27.716507,31,50,1.4994874256824668,257,2,29,Agricultural
Mumbai,19.076,72.8777,66,111,35,342,9,31,2026-03-29 02:33:27.716892,31,50,1.4994874256824668,257,2,29,Vehicular
Delhi,28.7041,77.1025,31,71,39,362,2,18,2026-03-29 02:33:27.717280,31,50,1.4994874256824668,257,2,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,89,128,49,230,12,31,2026-03-29 02:33:27.717661,31,50,1.4994874256824668,257,2,29,Vehicular
Hyderabad,17.385,78.4867,77,50,49,180,18,66,2026-03-29 02:33:27.718058,31,50,1.4994874256824668,257,2,29,Vehicular
Bangalore,12.9716,77.5946,76,114,38,112,23,33,2026-03-29 02:33:27.718455,31,50,1.4994874256824668,257,2,29,Vehicular
Visakhapatnam,17.6868,83.2185,30,102,14,230,2,29,2026-03-29 03:33:27.716501,35,77,2.503263835809826,318,3,29,Mixed
Mumbai,19.076,72.8777,71,55,38,243,17,68,2026-03-29 03:33:27.716886,35,77,2.503263835809826,318,3,29,Vehicular
Delhi,28.7041,77.1025,64,49,30,383,6,16,2026-03-29 03:33:27.717274,35,77,2.503263835809826,318,3,29,Mixed
Jammu and Kashmir,34.0837,74.7973,85,103,36,145,17,10,2026-03-29 03:33:27.717656,35,77,2.503263835809826,318,3,29,Vehicular
Hyderabad,17.385,78.4867,80,61,10,372,4,41,2026-03-29 03:33:27.718053,35,77,2.503263835809826,318,3,29,Mixed
Bangalore,12.9716,77.5946,113,124,50,285,28,43,2026-03-29 03:33:27.718450,35,77,2.503263835809826,318,3,29,Vehicular
Visakhapatnam,17.6868,83.2185,47,96,45,354,26,76,2026-03-29 04:33:27.716495,34,44,2.8931113588161828,93,4,29,Vehicular
Mumbai,19.076,72.8777,110,103,20,388,28,22,2026-03-29 04:33:27.716881,34,44,2.8931113588161828,93,4,29,Industrial
Delhi,28.7041,77.1025,94,32,17,166,24,23,2026-03-29 04:33:27.717266,34,44,2.8931113588161828,93,4,29,Industrial
Jammu and Kashmir,34.0837,74.7973,32,81,48,171,11,52,2026-03-29 04:33:27.717651,34,44,2.8931113588161828,93,4,29,Vehicular
Hyderabad,17.385,78.4867,88,91,30,299,17,24,2026-03-29 04:33:27.718047,34,44,2.8931113588161828,93,4,29,Agricultural
Bangalore,12.9716,77.5946,68,122,37,217,23,62,2026-03-29 04:33:27.718444,34,44,2.8931113588161828,93,4,29,Vehicular
Visakhapatnam,17.6868,83.2185,40,40,42,114,13,13,2026-03-29 05:33:27.716490,21,66,4.512880665938488,121,5,29,Vehicular
Mumbai,19.076,72.8777,21,123,6,376,3,70,2026-03-29 05:33:27.716876,21,66,4.512880665938488,121,5,29,Natural
Delhi,28.7041,77.1025,84,97,16,304,13,65,2026-03-29 05:33:27.717260,21,66,4.512880665938488,121,5,29,Agricultural
Jammu and Kashmir,34.0837,74.7973,68,37,18,368,6,37,2026-03-29 05:33:27.717645,21,66,4.512880665938488,121,5,29,Mixed
Hyderabad,17.385,78.4867,25,58,19,343,16,60,2026-03-29 05:33:27.718042,21,66,4.512880665938488,121,5,29,Natural
Bangalore,12.9716,77.5946,66,40,12,114,16,52,2026-03-29 05:33:27.718439,21,66,4.512880665938488,121,5,29,Natural
Visakhapatnam,17.6868,83.2185,33,79,39,343,26,55,2026-03-29 06:33:27.716484,30,50,3.295507130604789,147,6,29,Vehicular
Mumbai,19.076,72.8777,104,56,37,336,19,28,2026-03-29 06:33:27.716871,30,50,3.295507130604789,147,6,29,Vehicular
Delhi,28.7041,77.1025,40,54,22,336,29,48,2026-03-29 06:33:27.717255,30,50,3.295507130604789,147,6,29,Industrial
Jammu and Kashmir,34.0837,74.7973,120,122,43,358,20,71,2026-03-29 06:33:27.717640,30,50,3.295507130604789,147,6,29,Vehicular
Hyderabad,17.385,78.4867,80,147,39,315,9,20,2026-03-29 06:33:27.718037,30,50,3.295507130604789,147,6,29,Vehicular
Bangalore,12.9716,77.5946,45,131,33,241,14,68,2026-03-29 06:33:27.718434,30,50,3.295507130604789,147,6,29,Vehicular
Visakhapatnam,17.6868,83.2185,66,32,11,390,28,77,2026-03-29 07:33:27.716478,38,53,4.211550429348483,219,7,29,Industrial
Mumbai,19.076,72.8777,39,36,36,372,12,34,2026-03-29 07:33:27.716866,38,53,4.211550429348483,219,7,29,Vehicular
Delhi,28.7041,77.1025,69,116,24,312,7,17,2026-03-29 07:33:27.717249,38,53,4.211550429348483,219,7,29,Mixed
Jammu and Kashmir,34.0837,74.7973,108,111,40,222,2,69,2026-03-29 07:33:27.717634,38,53,4.211550429348483,219,7,29,Vehicular
Hyderabad,17.385,78.4867,112,118,17,196,11,66,2026-03-29 07:33:27.718031,38,53,4.211550429348483,219,7,29,Agricultural
Bangalore,12.9716,77.5946,86,120,49,147,27,49,2026-03-29 07:33:27.718429,38,53,4.211550429348483,219,7,29,Vehicular
Visakhapatnam,17.6868,83.2185,88,106,49,366,21,62,2026-03-29 08:33:27.716473,39,75,1.1153546740973166,183,8,29,Vehicular
Mumbai,19.076,72.8777,79,49,7,142,27,43,2026-03-29 08:33:27.716861,39,75,1.1153546740973166,183,8,29,Industrial
Delhi,28.7041,77.1025,76,134,48,330,30,14,2026-03-29 08:33:27.717244,39,75,1.1153546740973166,183,8,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,69,119,36,370,25,34,2026-03-29 08:33:27.717629,39,75,1.1153546740973166,183,8,29,Vehicular
Hyderabad,17.385,78.4867,23,129,45,235,9,34,2026-03-29 08:33:27.718023,39,75,1.1153546740973166,183,8,29,Vehicular
Bangalore,12.9716,77.5946,66,149,16,190,16,22,2026-03-29 08:33:27.718424,39,75,1.1153546740973166,183,8,29,Mixed
Visakhapatnam,17.6868,83.2185,83,79,28,177,6,11,2026-03-29 09:33:27.716467,31,68,2.320093255927225,63,9,29,Agricultural
Mumbai,19.076,72.8777,33,74,49,192,24,43,2026-03-29 09:33:27.716855,31,68,2.320093255927225,63,9,29,Vehicular
Delhi,28.7041,77.1025,89,83,50,310,4,59,2026-03-29 09:33:27.717238,31,68,2.320093255927225,63,9,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,42,39,37,231,23,51,2026-03-29 09:33:27.717624,31,68,2.320093255927225,63,9,29,Vehicular
Hyderabad,17.385,78.4867,50,95,27,154,4,39,2026-03-29 09:33:27.718018,31,68,2.320093255927225,63,9,29,Mixed
Bangalore,12.9716,77.5946,30,130,28,282,2,52,2026-03-29 09:33:27.718419,31,68,2.320093255927225,63,9,29,Natural
Visakhapatnam,17.6868,83.2185,108,66,12,163,2,61,2026-03-29 10:33:27.716460,37,85,5.618803737580326,278,10,29,Agricultural
Mumbai,19.076,72.8777,93,49,38,246,25,47,2026-03-29 10:33:27.716850,37,85,5.618803737580326,278,10,29,Vehicular
Delhi,28.7041,77.1025,116,31,35,188,27,33,2026-03-29 10:33:27.717233,37,85,5.618803737580326,278,10,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,109,51,25,345,13,39,2026-03-29 10:33:27.717618,37,85,5.618803737580326,278,10,29,Agricultural
Hyderabad,17.385,78.4867,95,30,27,297,16,43,2026-03-29 10:33:27.718013,37,85,5.618803737580326,278,10,29,Agricultural
Bangalore,12.9716,77.5946,47,34,42,189,29,28,2026-03-29 10:33:27.718414,37,85,5.618803737580326,278,10,29,Vehicular
Visakhapatnam,17.6868,83.2185,69,75,36,228,28,43,2026-03-29 11:33:27.716455,35,86,6.5004266327586855,137,11,29,Vehicular
Mumbai,19.076,72.8777,99,78,38,360,9,11,2026-03-29 11:33:27.716844,35,86,6.5004266327586855,137,11,29,Vehicular
Delhi,28.7041,77.1025,77,98,20,105,29,24,2026-03-29 11:33:27.717228,35,86,6.5004266327586855,137,11,29,Industrial
Jammu and Kashmir,34.0837,74.7973,20,63,26,117,19,24,2026-03-29 11:33:27.717613,35,86,6.5004266327586855,137,11,29,Mixed
Hyderabad,17.385,78.4867,82,49,14,113,2,72,2026-03-29 11:33:27.718008,35,86,6.5004266327586855,137,11,29,Agricultural
Bangalore,12.9716,77.5946,27,109,39,264,8,53,2026-03-29 11:33:27.718409,35,86,6.5004266327586855,137,11,29,Vehicular
Visakhapatnam,17.6868,83.2185,56,81,5,126,30,39,2026-03-29 12:33:27.716448,29,84,5.708352714515966,33,12,29,Industrial
Mumbai,19.076,72.8777,81,112,22,223,28,77,2026-03-29 12:33:27.716838,29,84,5.708352714515966,33,12,29,Industrial
Delhi,28.7041,77.1025,50,105,17,267,12,78,2026-03-29 12:33:27.717222,29,84,5.708352714515966,33,12,29,Natural
Jammu and Kashmir,34.0837,74.7973,104,53,39,113,30,28,2026-03-29 12:33:27.717608,29,84,5.708352714515966,33,12,29,Vehicular
Hyderabad,17.385,78.4867,71,128,29,158,19,63,2026-03-29 12:33:27.718002,29,84,5.708352714515966,33,12,29,Natural
Bangalore,12.9716,77.5946,27,110,26,311,30,74,2026-03-29 12:33:27.718404,29,84,5.708352714515966,33,12,29,Industrial
Visakhapatnam,17.6868,83.2185,81,44,27,257,29,36,2026-03-29 13:33:27.716442,23,89,1.1698869448165805,172,13,29,Industrial
Mumbai,19.076,72.8777,76,94,50,109,2,68,2026-03-29 13:33:27.716832,23,89,1.1698869448165805,172,13,29,Vehicular
Delhi,28.7041,77.1025,74,74,14,335,22,50,2026-03-29 13:33:27.717217,23,89,1.1698869448165805,172,13,29,Industrial
Jammu and Kashmir,34.0837,74.7973,77,125,12,293,8,20,2026-03-29 13:33:27.717602,23,89,1.1698869448165805,172,13,29,Mixed
Hyderabad,17.385,78.4867,92,43,41,394,7,29,2026-03-29 13:33:27.717997,23,89,1.1698869448165805,172,13,29,Vehicular
Bangalore,12.9716,77.5946,56,80,21,109,23,69,2026-03-29 13:33:27.718398,23,89,1.1698869448165805,172,13,29,Industrial
Visakhapatnam,17.6868,83.2185,23,97,46,189,22,57,2026-03-29 14:33:27.716436,36,82,1.7346895805639662,282,14,29,Vehicular
Mumbai,19.076,72.8777,64,30,21,215,2,47,2026-03-29 14:33:27.716825,36,82,1.7346895805639662,282,14,29,Mixed
Delhi,28.7041,77.1025,85,36,40,259,18,20,2026-03-29 14:33:27.717212,36,82,1.7346895805639662,282,14,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,78,136,9,345,3,47,2026-03-29 14:33:27.717597,36,82,1.7346895805639662,282,14,29,Mixed
Hyderabad,17.385,78.4867,55,31,26,378,9,29,2026-03-29 14:33:27.717992,36,82,1.7346895805639662,282,14,29,Mixed
Bangalore,12.9716,77.5946,36,145,36,330,5,10,2026-03-29 14:33:27.718393,36,82,1.7346895805639662,282,14,29,Vehicular
Visakhapatnam,17.6868,83.2185,90,139,6,214,30,78,2026-03-29 15:33:27.716429,24,63,6.531028078796921,138,15,29,Industrial
Mumbai,19.076,72.8777,108,85,41,111,28,75,2026-03-29 15:33:27.716820,24,63,6.531028078796921,138,15,29,Vehicular
Delhi,28.7041,77.1025,29,118,42,282,16,19,2026-03-29 15:33:27.717207,24,63,6.531028078796921,138,15,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,105,35,41,397,3,12,2026-03-29 15:33:27.717591,24,63,6.531028078796921,138,15,29,Vehicular
Hyderabad,17.385,78.4867,111,71,20,337,14,57,2026-03-29 15:33:27.717986,24,63,6.531028078796921,138,15,29,Agricultural
Bangalore,12.9716,77.5946,42,74,33,338,15,45,2026-03-29 15:33:27.718388,24,63,6.531028078796921,138,15,29,Vehicular
Visakhapatnam,17.6868,83.2185,108,125,16,246,24,50,2026-03-29 16:33:27.716422,23,57,6.64119421292415,168,16,29,Industrial
Mumbai,19.076,72.8777,31,125,22,286,7,26,2026-03-29 16:33:27.716814,23,57,6.64119421292415,168,16,29,Mixed
Delhi,28.7041,77.1025,50,34,25,296,18,18,2026-03-29 16:33:27.717202,23,57,6.64119421292415,168,16,29,Mixed
Jammu and Kashmir,34.0837,74.7973,73,112,35,340,13,54,2026-03-29 16:33:27.717583,23,57,6.64119421292415,168,16,29,Vehicular
Hyderabad,17.385,78.4867,112,81,5,382,26,28,2026-03-29 16:33:27.717981,23,57,6.64119421292415,168,16,29,Industrial
Bangalore,12.9716,77.5946,56,139,33,388,8,21,2026-03-29 16:33:27.718382,23,57,6.64119421292415,168,16,29,Vehicular
Visakhapatnam,17.6868,83.2185,27,114,41,294,14,72,2026-03-29 17:33:27.716414,38,47,9.400326353104337,18,17,29,Vehicular
Mumbai,19.076,72.8777,87,62,46,364,14,19,2026-03-29 17:33:27.716809,38,47,9.400326353104337,18,17,29,Vehicular
Delhi,28.7041,77.1025,43,40,44,125,20,74,2026-03-29 17:33:27.717196,38,47,9.400326353104337,18,17,29,Vehicular
Jammu and Kashmir,34.0837,74.7973,34,71,19,229,25,28,2026-03-29 17:33:27.717578,38,47,9.400326353104337,18,17,29,Industrial
Hyderabad,17.385,78.4867,23,90,13,191,16,22,2026-03-29 17:33:27.717975,38,47,9.400326353104337,18,17,29,Mixed
Bangalore,12.9716,77.5946,33,63,14,170,20,37,2026-03-29 17:33:27.718377,38,47,9.400326353104337,18,17,29,Mixed
Visakhapatnam,17.6868,83.2185,34,141,25,208,12,60,2026-03-29 18:33:27.716406,24,72,1.0729661723986177,26,18,29,Natural
Mumbai,19.076,72.8777,118,130,28,246,27,61,2026-03-29 18:33:27.716804,24,72,1.0729661723986177,26,18,29,Industrial
