city,lat,lon,timestamp,pm2_5,pm10,no2,co,so2,o3,temp,humidity,wind,wind_dir,dist_road,dist_industry,dist_dump,dist_farm,hour,day_of_week,season,pollution_level,pollution_source
Pune,18.5204,73.8567,2026-03-20 15:46:44.149208,26.23,58.58,0.48,128.38,1.87,94.57,34.63,17.0,3.17,323,15.49,1425.74,581.3,2048.67,15,4,Summer,Low,Natural
Nagpur,21.1458,79.0882,2026-03-20 15:46:48.757386,29.87,34.13,2.25,221.98,4.85,129.5,32.0,23.0,5.14,290,3.1,628.44,3000.0,522.66,15,4,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-20 15:46:51.521790,48.8,54.36,3.5,367.38,4.09,171.45,30.21,39.0,3.13,297,20.9,366.34,832.89,3479.27,15,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 16:47:11.886085,9.0,11.62,3.78,242.21,0.5,73.99,21.07,73.0,2.06,310,32.94,2819.91,2069.19,3000.0,16,4,Summer,Low,Natural
Mumbai,19.076,72.8777,2026-03-20 16:47:17.315427,27.18,68.42,0.1,118.79,0.71,69.06,30.03,51.0,6.69,290,18.56,142.87,3000.0,1921.7,16,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 16:47:21.514634,26.77,64.32,0.57,125.27,1.69,91.68,35.64,10.0,0.45,211,15.49,1425.74,581.3,2048.67,16,4,Summer,Low,Natural
Nagpur,21.1458,79.0882,2026-03-20 16:47:26.019281,31.34,35.56,3.64,237.9,5.72,127.58,26.08,41.0,5.73,70,3.1,628.44,3000.0,522.66,16,4,Summer,Moderate,Industrial
Bangalore,12.9716,77.5946,2026-03-20 16:47:29.193046,50.95,56.72,4.52,380.11,4.29,177.43,30.4,39.0,4.02,309,20.9,366.34,832.89,3479.27,16,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 17:47:48.122465,8.53,11.12,4.3,242.94,0.47,74.26,21.07,73.0,1.54,350,32.94,2819.91,2069.19,3000.0,17,4,Summer,Low,Natural
Mumbai,19.076,72.8777,2026-03-20 17:47:50.373242,25.95,63.14,0.11,118.73,0.68,67.75,29.0,58.0,5.66,320,18.56,142.87,3000.0,1921.7,17,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 17:47:52.313875,28.68,71.9,0.83,124.79,1.73,89.92,33.38,14.0,0.45,243,15.49,1425.74,581.3,2048.67,17,4,Summer,Low,Natural
Nagpur,21.1458,79.0882,2026-03-20 17:47:54.572863,32.73,37.01,5.58,257.93,6.58,125.19,31.0,25.0,1.03,0,3.1,628.44,3000.0,522.66,17,4,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 17:47:55.903353,51.96,57.97,6.43,394.68,4.53,177.86,29.79,39.0,4.92,315,20.9,366.34,832.89,3479.27,17,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 18:48:17.149156,30.08,35.9,15.39,404.92,1.41,63.5,21.07,73.0,3.09,30,32.94,2819.91,2069.19,3000.0,18,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 18:48:22.866996,25.58,60.16,0.13,120.73,0.75,65.9,28.01,61.0,5.66,310,18.56,142.87,3000.0,1921.7,18,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 18:48:27.056643,29.8,80.37,1.23,121.24,1.38,79.9,30.64,23.0,0.45,234,15.49,1425.74,581.3,2048.67,18,4,Summer,Low,Natural
Nagpur,21.1458,79.0882,2026-03-20 18:48:33.131436,23.54,28.7,4.63,209.5,3.81,111.34,23.95,50.0,4.53,338,3.1,628.44,3000.0,522.66,18,4,Summer,Low,Natural
Bangalore,12.9716,77.5946,2026-03-20 18:48:36.690283,48.81,55.83,12.86,442.95,5.16,154.04,28.92,43.0,3.13,311,20.9,366.34,832.89,3479.27,18,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 19:49:16.999642,35.52,43.31,18.82,467.92,1.56,51.97,19.07,82.0,3.09,40,32.94,2819.91,2069.19,3000.0,19,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 19:49:18.458048,24.58,55.85,0.19,121.18,0.8,64.46,28.03,57.0,4.63,340,18.56,142.87,3000.0,1921.7,19,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 19:49:19.819954,31.69,82.65,1.58,126.14,1.71,79.57,27.83,36.0,5.76,284,15.49,1425.74,581.3,2048.67,19,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 19:49:21.615732,24.62,30.83,8.38,256.83,4.39,91.58,23.68,51.0,2.13,150,3.1,628.44,3000.0,522.66,19,4,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 19:49:22.659315,51.8,61.69,18.56,536.56,6.3,133.87,28.08,47.0,1.34,45,20.9,366.34,832.89,3479.27,19,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 20:49:30.874848,39.65,49.14,20.38,518.56,1.57,43.7,18.07,88.0,2.06,40,32.94,2819.91,2069.19,3000.0,20,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 20:49:32.361794,23.66,52.09,0.28,121.46,0.85,62.86,27.03,65.0,3.6,350,18.56,142.87,3000.0,1921.7,20,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 20:49:33.889518,33.12,82.59,1.58,132.1,2.11,80.14,26.72,38.0,0.89,248,15.49,1425.74,581.3,2048.67,20,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 20:49:35.974976,25.88,33.16,10.96,299.43,4.6,77.11,26.0,31.0,3.09,290,3.1,628.44,3000.0,522.66,20,4,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 20:49:37.147032,56.67,69.31,21.24,617.78,7.27,123.17,27.5,50.0,4.02,99,20.9,366.34,832.89,3479.27,20,4,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-20 21:49:50.612196,42.76,53.5,21.24,557.28,1.52,36.36,18.07,88.0,1.54,50,32.94,2819.91,2069.19,3000.0,21,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 21:49:55.533092,22.99,49.35,0.41,121.72,0.96,61.4,27.0,65.0,2.57,340,18.56,142.87,3000.0,1921.7,21,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 21:49:59.620498,34.42,81.48,1.58,140.43,2.78,81.38,25.62,41.0,0.45,222,15.49,1425.74,581.3,2048.67,21,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 21:50:04.542112,26.81,34.85,12.61,332.33,4.61,65.45,22.65,57.0,3.32,87,3.1,628.44,3000.0,522.66,21,4,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 21:50:08.737293,60.62,74.82,20.85,658.92,6.81,108.08,26.18,61.0,0.89,203,20.9,366.34,832.89,3479.27,21,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 22:50:30.010930,45.43,57.4,21.96,595.25,1.5,28.96,18.07,82.0,1.03,0,32.94,2819.91,2069.19,3000.0,22,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 22:50:34.825020,22.72,47.69,0.59,123.2,1.19,60.38,27.1,65.0,5.0,349,18.56,142.87,3000.0,1921.7,22,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 22:50:38.310054,36.14,81.22,1.81,152.2,3.82,82.83,25.08,43.0,3.59,273,15.49,1425.74,581.3,2048.67,22,4,Summer,Moderate,Agricultural
Nagpur,21.1458,79.0882,2026-03-20 22:50:42.506752,28.0,36.9,14.17,367.12,4.85,57.64,22.95,56.0,2.61,98,3.1,628.44,3000.0,522.66,22,4,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 22:50:45.269706,63.73,78.51,20.11,689.67,5.77,93.95,25.0,65.0,4.92,123,20.9,366.34,832.89,3479.27,22,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-20 23:51:16.745076,46.22,58.31,21.78,611.8,1.33,22.88,17.07,88.0,1.54,50,32.94,2819.91,2069.19,3000.0,23,4,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-20 23:51:20.842383,22.65,46.63,0.84,126.18,1.56,59.58,27.07,60.0,4.12,357,18.56,142.87,3000.0,1921.7,23,4,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-20 23:51:24.220792,37.71,81.27,2.36,166.63,5.18,82.48,24.49,46.0,0.45,268,15.49,1425.74,581.3,2048.67,23,4,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-20 23:51:28.831205,29.03,38.48,15.62,395.33,5.19,52.35,23.47,52.0,2.61,86,3.1,628.44,3000.0,522.66,23,4,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-20 23:51:31.695593,64.97,79.02,19.11,696.67,4.61,84.3,24.09,71.0,4.02,126,20.9,366.34,832.89,3479.27,23,4,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 00:51:51.772130,44.8,55.88,20.33,599.32,1.09,19.18,17.07,88.0,2.055,0,32.94,2819.91,2069.19,3000.0,0,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 00:51:55.663354,22.69,45.91,1.14,130.07,2.08,58.99,26.86,59.0,3.14,1,18.56,142.87,3000.0,1921.7,0,5,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-21 00:51:59.040335,39.0,80.53,3.11,182.08,6.2,79.17,23.94,47.0,2.35,278,15.49,1425.74,581.3,2048.67,0,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 00:52:03.241470,29.55,38.95,16.05,406.95,5.33,48.73,23.85,51.0,2.11,112,3.1,628.44,3000.0,522.66,0,5,Summer,Low,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 00:52:06.314004,64.04,76.23,16.56,664.3,3.38,76.66,23.67,73.0,4.02,132,20.9,366.34,832.89,3479.27,0,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 01:52:25.253787,43.8,53.56,18.23,584.26,0.95,17.52,16.07,94.0,2.57,220,32.94,2819.91,2069.19,3000.0,1,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 01:52:29.802355,22.9,45.57,1.46,135.15,2.68,58.68,26.74,58.0,3.03,358,18.56,142.87,3000.0,1921.7,1,5,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-21 01:52:33.035442,40.49,80.06,3.8,200.67,6.66,74.46,22.83,53.0,1.46,290,15.49,1425.74,581.3,2048.67,1,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 01:52:37.432557,30.68,39.82,15.3,415.21,4.79,44.81,22.98,53.0,1.84,60,3.1,628.44,3000.0,522.66,1,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 01:52:40.306072,64.34,75.63,14.91,657.58,2.54,67.13,22.8,76.0,3.58,129,20.9,366.34,832.89,3479.27,1,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 02:52:59.858987,43.53,51.19,16.13,570.93,0.9,17.13,16.07,94.0,1.54,220,32.94,2819.91,2069.19,3000.0,2,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 02:53:03.749294,23.16,45.34,1.77,140.41,3.32,58.74,26.52,58.0,3.81,355,18.56,142.87,3000.0,1921.7,2,5,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-21 02:53:07.027094,41.95,79.38,4.48,219.28,7.17,69.3,22.27,53.0,0.91,304,15.49,1425.74,581.3,2048.67,2,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 02:53:11.430158,31.63,40.25,14.4,422.11,3.96,41.21,22.95,53.0,2.47,65,3.1,628.44,3000.0,522.66,2,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 02:53:14.093419,65.05,75.95,13.84,659.72,2.1,58.67,22.48,79.0,3.58,132,20.9,366.34,832.89,3479.27,2,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 03:53:33.439428,42.87,48.63,14.07,549.66,0.89,17.87,15.07,94.0,1.285,0,32.94,2819.91,2069.19,3000.0,3,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 03:53:37.733112,23.34,44.89,2.02,144.8,3.89,59.12,26.03,57.0,2.57,360,18.56,142.87,3000.0,1921.7,3,5,Summer,Low,Natural
Pune,18.5204,73.8567,2026-03-21 03:53:41.017543,42.78,77.7,5.0,234.24,7.31,64.36,22.27,54.0,0.42,36,15.49,1425.74,581.3,2048.67,3,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 03:53:45.422358,31.69,39.69,13.39,422.65,3.1,37.9,21.9,55.0,1.94,37,3.1,628.44,3000.0,522.66,3,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 03:53:48.185643,66.13,76.9,13.05,661.07,1.97,51.8,22.18,80.0,3.58,119,20.9,366.34,832.89,3479.27,3,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 04:54:07.633501,41.93,46.26,12.31,526.84,0.88,19.71,15.07,100.0,1.03,0,32.94,2819.91,2069.19,3000.0,4,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 04:54:11.423713,23.52,44.43,2.26,148.85,4.54,59.65,26.0,57.0,2.06,30,18.56,142.87,3000.0,1921.7,4,5,Summer,Low,Industrial
Pune,18.5204,73.8567,2026-03-21 04:54:15.008134,43.46,75.86,5.43,248.18,7.01,59.87,21.72,58.0,1.0,44,15.49,1425.74,581.3,2048.67,4,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 04:54:19.411370,32.08,39.8,12.72,423.86,2.48,34.72,22.0,54.0,1.64,51,3.1,628.44,3000.0,522.66,4,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 04:54:22.287578,68.58,79.53,12.6,664.17,2.1,47.01,21.85,81.0,3.58,119,20.9,366.34,832.89,3479.27,4,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 05:54:40.908968,41.02,44.52,11.05,505.75,0.88,21.41,15.07,100.0,1.03,0,32.94,2819.91,2069.19,3000.0,5,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 05:54:44.800186,23.86,44.16,2.48,153.79,5.25,60.26,25.03,61.0,1.54,50,18.56,142.87,3000.0,1921.7,5,5,Summer,Low,Industrial
Pune,18.5204,73.8567,2026-03-21 05:54:47.872507,44.41,74.67,5.81,262.14,6.81,56.4,21.16,59.0,1.16,31,15.49,1425.74,581.3,2048.67,5,5,Summer,Moderate,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 05:54:52.377846,32.44,40.17,12.5,426.68,2.1,31.36,22.0,56.0,1.03,40,3.1,628.44,3000.0,522.66,5,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 05:54:55.040265,70.72,81.95,12.8,670.46,2.38,43.44,21.32,83.0,2.68,127,20.9,366.34,832.89,3479.27,5,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 06:55:14.389211,40.36,43.89,10.64,497.05,0.86,19.76,15.07,100.0,1.03,0,32.94,2819.91,2069.19,3000.0,6,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 06:55:18.484184,24.44,44.27,2.7,159.98,6.06,61.02,26.0,53.0,1.54,350,18.56,142.87,3000.0,1921.7,6,5,Summer,Low,Industrial
Pune,18.5204,73.8567,2026-03-21 06:55:21.849393,45.59,74.63,6.17,276.39,7.0,54.01,21.16,60.0,1.14,20,15.49,1425.74,581.3,2048.67,6,5,Summer,Moderate,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 06:55:27.493845,32.38,40.47,12.84,431.94,2.03,27.46,20.49,56.0,2.07,10,3.1,628.44,3000.0,522.66,6,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 06:55:31.079545,71.08,82.92,14.36,682.69,3.06,41.1,21.19,84.0,2.68,139,20.9,366.34,832.89,3479.27,6,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 07:55:53.278816,40.37,45.23,11.18,514.98,1.05,17.23,16.07,94.0,1.03,0,32.94,2819.91,2069.19,3000.0,7,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 07:55:57.170048,25.04,44.48,2.96,165.49,6.74,62.25,26.03,53.0,2.06,10,18.56,142.87,3000.0,1921.7,7,5,Summer,Low,Industrial
Pune,18.5204,73.8567,2026-03-21 07:56:00.756000,46.78,75.74,6.64,287.72,8.58,54.4,22.27,59.0,0.95,27,15.49,1425.74,581.3,2048.67,7,5,Summer,Moderate,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 07:56:05.976949,32.33,41.39,13.3,446.38,2.36,24.82,23.0,53.0,1.54,30,3.1,628.44,3000.0,522.66,7,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 07:56:29.613006,71.41,84.79,17.82,728.05,4.0,38.36,22.765,78.5,4.245,0,20.9,366.34,832.89,3479.27,7,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 08:57:10.576130,40.57,47.4,9.53,542.77,1.23,22.12,18.07,94.0,1.03,0,32.94,2819.91,2069.19,3000.0,8,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 08:57:14.876274,25.68,44.68,3.24,170.13,7.3,65.14,26.9,49.0,3.24,34,18.56,142.87,3000.0,1921.7,8,5,Summer,Low,Industrial
Pune,18.5204,73.8567,2026-03-21 08:57:18.357843,47.81,76.75,6.48,293.74,11.28,60.23,26.75,46.0,2.48,37,15.49,1425.74,581.3,2048.67,8,5,Summer,Moderate,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 08:57:23.069568,32.38,42.53,10.98,456.8,2.86,29.33,24.43,45.0,0.98,61,3.1,628.44,3000.0,522.66,8,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 08:57:26.243372,73.51,88.2,17.82,776.99,4.44,46.74,24.34,73.0,5.81,192,20.9,366.34,832.89,3479.27,8,5,Summer,High,Burning
Delhi,28.6139,77.209,2026-03-21 10:30:55.739920,41.48,49.03,6.17,432.24,2.1,66.71,20.07,83.0,2.06,260,32.94,2819.91,2069.19,3000.0,10,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 10:30:57.373933,30.69,49.83,3.51,195.75,10.02,84.12,29.01,42.0,2.06,50,18.56,142.87,3000.0,1921.7,10,5,Summer,Moderate,Industrial
Pune,18.5204,73.8567,2026-03-21 10:30:58.742636,56.09,83.97,4.2,295.68,13.93,100.88,30.05,31.0,0.45,189,15.49,1425.74,581.3,2048.67,10,5,Summer,Moderate,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 10:31:00.553730,33.77,46.0,4.61,299.35,8.28,95.99,26.0,44.0,2.57,60,3.1,628.44,3000.0,522.66,10,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 10:31:01.593651,53.42,61.79,4.51,435.37,4.98,133.03,28.16,57.0,6.26,237,20.9,366.34,832.89,3479.27,10,5,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-21 11:31:11.033851,49.18,56.47,4.04,401.57,2.37,94.4,22.07,68.0,1.54,270,32.94,2819.91,2069.19,3000.0,11,5,Summer,Moderate,Vehicular
Mumbai,19.076,72.8777,2026-03-21 11:31:12.821077,38.06,58.06,2.86,213.97,11.4,104.07,31.0,35.0,4.63,60,18.56,142.87,3000.0,1921.7,11,5,Summer,Moderate,Industrial
Pune,18.5204,73.8567,2026-03-21 11:31:14.673719,65.04,91.71,2.65,294.27,14.2,127.01,32.27,23.0,4.1,47,15.49,1425.74,581.3,2048.67,11,5,Summer,High,Vehicular
Nagpur,21.1458,79.0882,2026-03-21 11:31:16.805809,41.37,54.04,3.19,280.66,8.93,116.95,29.83,23.0,0.68,64,3.1,628.44,3000.0,522.66,11,5,Summer,Moderate,Vehicular
Bangalore,12.9716,77.5946,2026-03-21 11:31:18.161813,53.94,61.18,3.2,409.34,4.77,144.59,29.01,51.0,4.02,243,20.9,366.34,832.89,3479.27,11,5,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-21 12:31:40.242860,25.19,28.62,0.94,268.16,1.69,117.75,24.07,60.0,2.57,290,32.94,2819.91,2069.19,3000.0,12,5,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-21 12:31:42.001833,46.93,68.04,1.73,227.14,11.88,124.77,30.03,47.0,3.94,294,18.56,142.87,3000.0,1921.7,12,5,Summer,Moderate,Industrial
Pune,18.5204,73.8567,2026-03-21 12:31:43.397031,59.71,84.48,1.55,246.16,13.2,141.41,32.27,22.0,0.45,69,15.49,1425.74,581.3,2048.67,12,5,Summer,Moderate,Industrial
Nagpur,21.1458,79.0882,2026-03-21 12:31:45.244534,32.5,46.84,1.35,197.37,7.09,129.61,31.12,25.0,0.47,138,3.1,628.44,3000.0,522.66,12,5,Summer,Moderate,Industrial
Bangalore,12.9716,77.5946,2026-03-21 12:31:46.333748,52.12,58.16,2.77,382.11,4.36,144.35,29.46,46.0,2.57,210,20.9,366.34,832.89,3479.27,12,5,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-21 14:12:32.753886,15.69,18.9,0.83,219.54,0.91,120.64,26.07,47.0,2.57,280,32.94,2819.91,2069.19,3000.0,14,5,Summer,Low,Natural
Mumbai,19.076,72.8777,2026-03-21 14:12:34.493173,54.5,77.61,0.9,232.15,10.24,143.68,33.0,40.0,6.69,310,18.56,142.87,3000.0,1921.7,14,5,Summer,Moderate,Industrial
Pune,18.5204,73.8567,2026-03-21 14:12:36.233743,63.29,86.75,1.2,237.16,12.74,158.25,30.74,28.0,1.6,45,15.49,1425.74,581.3,2048.67,14,5,Summer,High,Industrial
Nagpur,21.1458,79.0882,2026-03-21 14:12:38.285081,25.24,39.93,0.93,156.89,4.35,126.87,32.89,18.0,0.87,357,3.1,628.44,3000.0,522.66,14,5,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-21 14:12:39.818789,46.89,51.76,3.06,346.28,4.15,146.56,30.75,41.0,2.06,190,20.9,366.34,832.89,3479.27,14,5,Summer,Moderate,Vehicular
Delhi,28.6139,77.209,2026-03-21 18:50:21.000000,14.65,21.05,6.25,257.73,1.21,98.84,24.07,50.0,3.09,290,32.94,2819.91,2069.19,3000.0,18,5,Summer,Low,Vehicular
Mumbai,19.076,72.8777,2026-03-21 18:50:25.000000,32.77,56.99,0.8,167.1,3.94,113.8,28.76,55.0,8.96,325,18.56,142.87,3000.0,1921.7,18,5,Summer,Moderate,Agricultural
Pune,18.5204,73.8567,2026-03-21 18:50:29.000000,61.02,89.71,2.39,246.02,11.21,180.49,30.18,24.0,2.38,333,15.49,1425.74,581.3,2048.67,18,5,Summer,High,Industrial
Nagpur,21.1458,79.0882,2026-03-21 18:50:34.000000,25.39,39.01,3.36,173.23,4.79,119.72,30.99,14.0,2.64,5,3.1,628.44,3000.0,522.66,18,5,Summer,Low,Industrial
Bangalore,12.9716,77.5946,2026-03-21 18:50:37.000000,47.37,53.72,9.16,389.52,4.85,144.62,29.37,45.0,4.12,90,20.9,366.34,832.89,3479.27,18,5,Summer,Moderate,Vehicular
